ds,s,h_x,h_y,P,P2,GA,parameters,reason
0.031578947368421054,0.22631578947368422,0.0,0.0,0.0,0.15473684255121,0.234148017129837,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.042105263157894736,0.22631578947368422,0.0,0.0,0.0,0.15473684252494677,0.23414801627716395,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.05263157894736842,0.22631578947368422,0.0,0.0,0.0,0.15473684256418227,0.23414801521528278,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.06315789473684211,0.22631578947368422,0.029899999999999767,0.029799999999999768,0.0,0.15387752706049593,0.23001267174195023,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.07368421052631578,0.22631578947368422,0.06230000000010256,0.062400000000102554,0.0,0.1526413773506594,0.22478729112315052,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",too long
0.08421052631578947,0.22631578947368422,0.09090000000000362,0.09080000000000361,0.0,0.15125930180432354,0.2195533772074971,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.09473684210526316,0.22631578947368422,0.11640000000000435,0.11630000000000434,0.0,0.14976694136208638,0.21433756980710544,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.10526315789473684,0.22631578947368422,0.13959999999999886,0.1394999999999989,0.0,0.14818228679468481,0.20915858739252405,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.11578947368421053,0.22631578947368422,0.1608999999999906,0.16079999999999064,0.0,0.14652229460616065,0.2040384996902957,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.12631578947368421,0.22631578947368422,0.18069999999998293,0.18059999999998297,0.0,0.14479712254890093,0.19898142759129836,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.1368421052631579,0.22631578947368422,0.19919999999997576,0.1990999999999758,0.0,0.14301710477839025,0.1939999089385781,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.14736842105263157,0.22631578947368422,0.216599999999969,0.21649999999996905,0.0,0.14118928417204088,0.18909801260254466,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.15789473684210525,0.22631578947368422,0.23299999999996265,0.2328999999999627,0.0,0.1393206709984379,0.184283053944718,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.16842105263157894,0.22631578947368422,0.24869999999995657,0.2485999999999566,0.0,0.1374118770191419,0.17954161191538837,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.17894736842105263,0.22631578947368422,0.26369999999995464,0.26359999999995465,0.0,0.13546917372354772,0.174883272892153,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.18947368421052632,0.22631578947368422,0.27799999999995306,0.2778999999999531,0.0,0.13349770463706334,0.1703141516696175,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.2,0.22631578947368422,0.29189999999995153,0.29179999999995154,0.0,0.13149506435663028,0.16581654505192225,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
